#Table Description:
#name;id;x;y;z;type;texture;map_x;map_y
#######################################

gludin_arena_001;17220015;-88697;142316;-3621;2;none;0;0
gludin_arena_002;17220016;-87136;142491;-3623;2;none;0;0
human_village_001;17250001;-82873;244808;-3717;0;town_map_talking_t00;1;1
human_village_002;17250002;-82765;241439;-3718;0;town_map_talking_t00;1;1
human_village_003;17250003;-86121;241452;-3719;0;town_map_talking_t00;1;1
orc_village_001;18140001;-45824;-116764;-219;0;town_map_orc_t00;1;1
orc_village_002;18140002;-46504;-110394;-220;0;town_map_orc_t00;1;1
orc_village_003;18140003;-47332;-113246;-220;0;town_map_orc_t00;1;1
TP_AT_chair_star_01;18150002;-59660;-68916;-2915;1;none;0;0
TP_AT_chair_star_01;18150004;-59840;-69023;-2910;1;none;0;0
TP_AT_chair_star_01;18150005;-59803;-69210;-2910;1;none;0;0
TP_AT_chair_star_01;18150007;-59763;-69250;-2910;1;none;0;0
TP_AT_chair_star_01;18150008;-59675;-69463;-2910;1;none;0;0
TP_AT_chair_star_01;18150011;-59095;-69277;-2911;1;none;0;0
TP_AT_chair_star_01;18150012;-60032;-69890;-2866;1;none;0;0
TP_AT_chair_star_01;18150013;-60247;-69834;-2861;1;none;0;0
TP_AT_chair_star_01;18150015;-60037;-69998;-2866;1;none;0;0
TPchair;18150021;-54176;-67088;-3169;1;none;0;0
TPchair;18150022;-53952;-67088;-3168;1;none;0;0
TPchair;18150023;-52160;-67136;-3169;1;none;0;0
TPchair;18150024;-51936;-67136;-3167;1;none;0;0
TPchair;18150025;-49435;-68435;-3171;1;none;0;0
TPchair;18150026;-49433;-68287;-3171;1;none;0;0
TPchair;18150027;-49199;-68438;-3172;1;none;0;0
TPchair;18150028;-49197;-68290;-3172;1;none;0;0
TPchair;18150029;-51968;-71952;-3169;1;none;0;0
TPchair;18150030;-52192;-71952;-3169;1;none;0;0
TPchair;18150031;-52576;-71952;-3169;1;none;0;0
TPchair;18150032;-52800;-71952;-3169;1;none;0;0
TPchair;18150033;-53280;-71952;-3169;1;none;0;0
TPchair;18150034;-53504;-71952;-3169;1;none;0;0
TPchair;18150035;-53984;-71936;-3169;1;none;0;0
TPchair;18150036;-54208;-71936;-3169;1;none;0;0
TPchair;18150037;-54784;-71936;-3169;1;none;0;0
TPchair;18150038;-55008;-71936;-3169;1;none;0;0
TPchair;18150039;-55659;-71678;-3169;1;none;0;0
TPchair;18150040;-55833;-71504;-3169;1;none;0;0
TPchair;18150041;-56187;-71150;-3169;1;none;0;0
TPchair;18150042;-56361;-70976;-3169;1;none;0;0
TP_WeddingHall_chair;18160001;-50833;-54754;-2834;1;none;0;0
TP_WeddingHall_chair;18160002;-50874;-54732;-2834;1;none;0;0
TP_WeddingHall_chair;18160003;-50910;-54702;-2834;1;none;0;0
TP_WeddingHall_chair;18160004;-50974;-54602;-2834;1;none;0;0
TP_WeddingHall_chair;18160005;-50987;-54557;-2834;1;none;0;0
TP_WeddingHall_chair;18160006;-50992;-54510;-2834;1;none;0;0
TP_WeddingHall_chair;18160007;-50991;-53829;-2834;1;none;0;0
TP_WeddingHall_chair;18160008;-50987;-53782;-2834;1;none;0;0
TP_WeddingHall_chair;18160009;-50973;-53738;-2834;1;none;0;0
TP_WeddingHall_chair;18160010;-50910;-53646;-2834;1;none;0;0
TP_WeddingHall_chair;18160011;-50873;-53617;-2834;1;none;0;0
TP_WeddingHall_chair;18160012;-50832;-53595;-2834;1;none;0;0
TPchair;18160013;-61876;-55177;-2023;1;none;0;0
TPchair;18160014;-61876;-55229;-2023;1;none;0;0
TPchair;18160015;-61860;-56371;-2024;1;none;0;0
TPchair;18160016;-61860;-56423;-2024;1;none;0;0
TPchair;18160017;-61888;-57375;-2023;1;none;0;0
TPchair;18160018;-61888;-57427;-2023;1;none;0;0
TPchair;18160019;-61534;-57505;-2023;1;none;0;0
TPchair;18160020;-61534;-57453;-2023;1;none;0;0
TPchair;18160021;-61450;-57421;-2023;1;none;0;0
TPchair;18160022;-61398;-57421;-2023;1;none;0;0
TPchair;18160023;-61433;-56378;-2023;1;none;0;0
TPchair;18160024;-61381;-56378;-2023;1;none;0;0
TPchair;18160025;-59997;-58651;-2021;1;none;0;0
TPchair;18160026;-59944;-58651;-2021;1;none;0;0
TPchair;18160027;-59504;-58656;-2024;1;none;0;0
TPchair;18160028;-59452;-58656;-2023;1;none;0;0
TPchair;18160029;-55926;-61170;-2366;1;none;0;0
TPchair;18160030;-55823;-61282;-2364;1;none;0;0
TPchair;18160031;-55611;-61587;-2369;1;none;0;0
TPchair;18160032;-55520;-61708;-2367;1;none;0;0
TPchair;18160033;-53346;-63772;-2371;1;none;0;0
TPchair;18160034;-53243;-63859;-2369;1;none;0;0
TPchair;18160035;-53571;-63818;-2371;1;none;0;0
TPchair;18160036;-53685;-63710;-2369;1;none;0;0
